,label,value
1,3M Company,MMM
2,A.O. Smith Corp,AOS
3,Abbott Laboratories,ABT
4,AbbVie Inc.,ABBV
5,Accenture plc,ACN
6,Activision Blizzard,ATVI
7,Acuity Brands Inc,AYI
8,Adobe Systems Inc,ADBE
9,Advance Auto Parts,AAP
10,Advanced Micro Devices Inc,AMD
11,AES Corp,AES
12,Aetna Inc,AET
13,Affiliated Managers Group Inc,AMG
14,AFLAC Inc,AFL
15,Agilent Technologies Inc,A
16,Air Products & Chemicals Inc,APD
17,Akamai Technologies Inc,AKAM
18,Alaska Air Group Inc,ALK
19,Albemarle Corp,ALB
20,Alexandria Real Estate Equities Inc,ARE
21,Alexion Pharmaceuticals,ALXN
22,Align Technology,ALGN
23,Allegion,ALLE
24,Allergan, Plc,AGN
25,Alliance Data Systems,ADS
26,Alliant Energy Corp,LNT
27,Allstate Corp,ALL
28,Alphabet Inc Class A,GOOGL
29,Alphabet Inc Class C,GOOG
30,Altria Group Inc,MO
31,Amazon.com Inc.,AMZN
32,Ameren Corp,AEE
33,American Airlines Group,AAL
34,American Electric Power,AEP
35,American Express Co,AXP
36,American International Group, Inc.,AIG
37,American Tower Corp A,AMT
38,American Water Works Company Inc,AWK
39,Ameriprise Financial,AMP
40,AmerisourceBergen Corp,ABC
41,AMETEK Inc.,AME
42,Amgen Inc.,AMGN
43,Amphenol Corp,APH
44,Anadarko Petroleum Corp,APC
45,Analog Devices, Inc.,ADI
46,Andeavor,ANDV
47,ANSYS,ANSS
48,Anthem Inc.,ANTM
49,Aon plc,AON
50,Apache Corporation,APA
51,Apartment Investment & Management,AIV
52,Apple Inc.,AAPL
53,Applied Materials Inc.,AMAT
54,Aptiv Plc,APTV
55,Archer-Daniels-Midland Co,ADM
56,Arconic Inc.,ARNC
57,Arthur J. Gallagher & Co.,AJG
58,Assurant Inc.,AIZ
59,AT&T Inc.,T
60,Autodesk Inc.,ADSK
61,Automatic Data Processing,ADP
62,AutoZone Inc,AZO
63,AvalonBay Communities, Inc.,AVB
64,Avery Dennison Corp,AVY
65,Baker Hughes, a GE Company,BHGE
66,Ball Corp,BLL
67,Bank of America Corp,BAC
68,Baxter International Inc.,BAX
69,BB&T Corporation,BBT
70,Becton Dickinson,BDX
71,Berkshire Hathaway,BRK.B
72,Best Buy Co. Inc.,BBY
73,Biogen Inc.,BIIB
74,BlackRock,BLK
75,Block H&R,HRB
76,Boeing Company,BA
77,Booking Holdings Inc,BKNG
78,BorgWarner,BWA
79,Boston Properties,BXP
80,Boston Scientific,BSX
81,Brighthouse Financial Inc,BHF
82,Bristol-Myers Squibb,BMY
83,Broadcom,AVGO
84,Brown-Forman Corp.,BF.B
85,C. H. Robinson Worldwide,CHRW
86,CA, Inc.,CA
87,Cabot Oil & Gas,COG
88,Cadence Design Systems,CDNS
89,Campbell Soup,CPB
90,Capital One Financial,COF
91,Cardinal Health Inc.,CAH
92,Carmax Inc,KMX
93,Carnival Corp.,CCL
94,Caterpillar Inc.,CAT
95,Cboe Global Markets,CBOE
96,CBRE Group,CBRE
97,CBS Corp.,CBS
98,Celgene Corp.,CELG
99,Centene Corporation,CNC
100,CenterPoint Energy,CNP
101,CenturyLink Inc,CTL
102,Cerner,CERN
103,CF Industries Holdings Inc,CF
104,Charles Schwab Corporation,SCHW
105,Charter Communications,CHTR
106,Chevron Corp.,CVX
107,Chipotle Mexican Grill,CMG
108,Chubb Limited,CB
109,Church & Dwight,CHD
110,CIGNA Corp.,CI
111,Cimarex Energy,XEC
112,Cincinnati Financial,CINF
113,Cintas Corporation,CTAS
114,Cisco Systems,CSCO
115,Citigroup Inc.,C
116,Citizens Financial Group,CFG
117,Citrix Systems,CTXS
118,CME Group Inc.,CME
119,CMS Energy,CMS
120,Coca-Cola Company (The),KO
121,Cognizant Technology Solutions,CTSH
122,Colgate-Palmolive,CL
123,Comcast Corp.,CMCSA
124,Comerica Inc.,CMA
125,Conagra Brands,CAG
126,Concho Resources,CXO
127,ConocoPhillips,COP
128,Consolidated Edison,ED
129,Constellation Brands,STZ
130,Corning Inc.,GLW
131,Costco Wholesale Corp.,COST
132,Coty, Inc,COTY
133,Crown Castle International Corp.,CCI
134,CSRA Inc.,CSRA
135,CSX Corp.,CSX
136,Cummins Inc.,CMI
137,CVS Health,CVS
138,D. R. Horton,DHI
139,Danaher Corp.,DHR
140,Darden Restaurants,DRI
141,DaVita Inc.,DVA
142,Deere & Co.,DE
143,Delta Air Lines Inc.,DAL
144,Dentsply Sirona,XRAY
145,Devon Energy Corp.,DVN
146,Digital Realty Trust Inc,DLR
147,Discover Financial Services,DFS
148,Discovery Inc. Class A,DISCA
149,Discovery Inc. Class C,DISCK
150,Dish Network,DISH
151,Dollar General,DG
152,Dollar Tree,DLTR
153,Dominion Energy,D
154,Dover Corp.,DOV
